id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
522,spiny lobster cooked,233,3.2,0.5,0.6,1.2,5.1,0,43,0,146.7,0.4,108.8,60,97,32,68,16,8,0.7,0.3,3.4,0,0,0,102.7,0.7,2.3,83.1,19,373.3,339,42,11.9,159731
523,blue mussels raw,129,3.4,0.6,0.8,0.9,5.5,0,17.9,0,42.0,0.4,120.9,28,0.2,95,3,0.3,2.4,0.8,41,12,0,0.8,12,39,0.1,5.9,51,5.1,295.5,480,63,2.4,83.72
524,queen crab cooked,98,1.3,0.2,0.3,0.5,0,0,20.2,0,60.4,0.6,63.8,7,7,29,40,0.2,2.5,0.3,0.1,6.1,0,0,0,28.1,0.5,2.4,53.6,36,108.8,170,56,3.1,58197
525,dungeness crab cooked,140,1.6,0.2,0.3,0.5,1.2,0,28.3,0,96.5,0.5,93.1,60,24,54,39,0.3,4.6,0.5,0.2,4.6,0,0,0,74.9,0.9,0.5,73.7,0.1,222.3,518.2,32,6.9,111171
526,dungeness crab raw,140,1.6,0.2,0.3,0.5,1.2,0,28.4,0,96.2,0.5,129.1,26,33,86,17,0.3,5.1,0.6,0.2,5.7,0,0,0,75,1.1,0.6,73.4,0.1,296.7,577,22,7,112564
527,shrimp fried,52,3.2,0.7,2,0.3,4.8,86,1.3,0.1,9.9,0.2,7.2,10,37,29,75,65,0.2,0,21,0,0,0.4,40,4.9,12,0.1,2.7,15,31.5,13.9,21,69,14433
528,shrimp raw,4,23,61,75,9,41,0,0.7,0,6.3,83,4.2,83,92,52,45,81,89,56,25,0,53,35,42,2.7,79,72,1.1,4,12.2,5.7,2,78,3712
529,blue crab cooked,71,0.6,0.2,0.1,0.2,0,0,15.2,0,82.5,0.3,67.7,4,29,36,48,96,33,2.3,0.8,0.1,2.8,0,1.6,27,77.4,0.7,0.4,30.6,87,198.9,220.2,76,16719
530,shrimp imitation,29,0.4,19,14,0.2,2.6,0,3.5,0,10.2,0.2,21.2,46,20,20,76,85,84,23,5,0,0,0,0,5.4,53,0.2,12.2,80,79.8,25.2,88,36,12119
531,conch baked,165,1.5,0.5,0.4,0.3,2.2,0,33.4,0,82.6,0.2,88.1,99,69,0.2,88,0.1,1.3,0,95,0,0,8,16,124.5,0.6,1.8,302.3,0,275.6,207,7,2.2,163446
532,squid raw,26,0.4,0.1,94,0.1,0.9,0,4.4,0,65.9,90,22.2,77,14,43,27,0.1,0.6,0.1,33,1.3,0,0.3,0,9.1,0.5,0.2,9.3,48,62.5,69.6,88,0.4,16386
533,scallop raw,10,91,89,26,5,0.5,0,1.8,0,3.6,57,12.4,84,31,35,95,15,0.1,98,49,0,0,0,0,0.9,81,68,3.3,69,50.1,30.8,98,0.1,3417
534,lobster raw,116,1.1,0.3,0.3,0.4,0,0,24.8,0,190.5,0.6,121.4,92,25,33,5,86,2.4,2.2,0.2,0,0,1.3,0,126,2,0.4,57,22,241.5,300,47,5.3,152362
535,scallop imitation,28,0.1,65,85,98,3,0,3.6,0,6.2,0.2,20.9,8,79,46,40,17,91,90,45,0,0,0,0,2.3,67,58,12.2,34,79.8,29.1,95,19,9105
536,blue crab raw,18,0.2,67,48,63,18,0,3.8,0,16.4,79,16.6,69,98,82,9,21,0.6,79,73,0.6,0,0,0,18.7,0.1,0.2,7.1,19,48.1,69.1,70,0.7,23615
537,whelk raw,39,0.1,96,67,5,2.2,0,6.7,0,18.4,73,18.7,43,89,27,21,88,0.3,37,97,1.1,0,13,28,16.1,0.3,1.4,24.3,0.1,39.9,98.2,11,0.5,27678
538,spiny lobster raw,234,3.2,0.5,0.6,1.2,5.1,0,43.1,0,146.3,0.4,154.8,25,71,94,8,43,8.9,0.7,0.3,4.2,0,0,0,102.4,0.8,2.5,83.6,33,497.4,376.2,55,11.9,160501
539,clams canned,227,2.5,0.5,0.3,0.5,9.4,0,38.8,0,80.0,0.2,104.4,0.2,31,99,10,0.1,0.9,0.4,71,0,63,1.8,37,104,0.1,4.3,51.2,0.2,523.2,1004.80,89,1.3,159.2
540,lobster cooked,134,1.3,0.3,0.4,0.5,0,0,28.5,0,219.0,0.7,117.2,77,74,77,71,99,31,2.7,2.5,0.2,0,0,1.5,0,144,2.3,0.4,64.5,49,277.5,345,0.1,32314
